Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:43:42:49.785,61,0.0000000000,0.0000000000,0.0367479064,0.0000000000,0.0029189498,0.0000000000,0.0396267287,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028451837,0.0000000000,0.0396263190,0.0000000000,0.0080165099,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0013545391,0.0135025037,0.0320558175,0.0000000000,0.0000000000,0.0054175942,0.0051996992,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0068893754,0.0068726842,0.0000000000,0.0002259257,0.0592933483,0.0592121817,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000592,0.0169062950,-0.0438570604,0.0175140426,0.0259433463,-0.0014900535,0.0000796946,0.0224466920,-0.0014963984,-0.0000286469
13:43:42:50.787,61,0.0000000000,0.0000000000,0.0386030823,0.0000000000,0.0016105587,0.0000000000,0.0392140560,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0015384319,0.0000000000,0.0392137170,0.0000000000,0.0078940606,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0014331540,0.0145828892,0.0337004997,0.0000000000,0.0000000000,0.0055933576,0.0053773671,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0071302387,0.0071343346,0.0000000000,0.0002459752,0.0597603284,0.0596784204,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0169062950,-0.0438570604,0.0175140426,0.0270735435,-0.0009191473,0.0000508528,0.0235798974,-0.0009253792,-0.0000166065
13:43:42:51.789,61,0.0000000000,0.0000000000,0.0414699540,0.0000000000,0.0005272906,0.0000000000,0.0387832075,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004562566,0.0000000000,0.0387830548,0.0000000000,0.0078148646,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0014668083,0.0199910607,0.0390231609,0.0000000000,0.0000000000,0.0058120042,0.0056014052,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0074639004,0.0074746003,0.0000000000,0.0002417642,0.0597420894,0.0596590042,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0169062950,-0.0438570604,0.0175140426,0.0288198702,-0.0004463965,0.0000277839,0.0253310781,-0.0004525925,-0.0000058454
13:43:42:52.790,61,0.0000000000,0.0000029283,0.0447262973,0.0000000000,0.0000000000,0.0000000000,0.0384275652,0.0000000000,0.0000138611,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0384277180,0.0000000000,0.0079613319,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0014617848,0.0252272803,0.0457904376,0.0000000000,0.0000000000,0.0060497043,0.0058379662,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0078243474,0.0078299474,0.0000000000,0.0002500457,0.0594719015,0.0593874529,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0169062950,-0.0438570604,0.0175140426,0.0307899080,0.0000080174,0.0000072388,0.0273201521,0.0000018721,0.0000061277
13:43:42:53.792,61,0.0000000000,0.0010391524,0.0482603535,0.0000000000,0.0000000000,0.0000000000,0.0380517803,0.0000000000,0.0010497356,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0380522199,0.0000000000,0.0081657609,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0014330968,0.0274173617,0.0483171307,0.0000000000,0.0000000000,0.0061502848,0.0059418883,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0081288684,0.0081168748,0.0000000000,0.0002570291,0.0591987036,0.0591128469,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0169062950,-0.0438570604,0.0175140426,0.0329312943,0.0006410824,-0.0000189369,0.0294788443,0.0006349245,0.0000252932
13:43:42:54.793,61,0.0000000000,0.0013450611,0.0499955863,0.0000000000,0.0000000000,0.0000000000,0.0379759967,0.0000000000,0.0013556562,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0379765704,0.0000000000,0.0082406132,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0013962715,0.0282838587,0.0492100269,0.0000000000,0.0000000000,0.0061641512,0.0059573157,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0082943551,0.0082644876,0.0000000000,0.0002689019,0.0588443428,0.0587571263,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0194159690,-0.0422821119,0.0164714791,0.0340087675,0.0008280018,-0.0000256694,0.0305387713,0.0008218400,0.0000319155
13:43:42:55.795,61,0.0000000000,0.0011029892,0.0500461422,0.0000000000,0.0000000000,0.0000000000,0.0379227623,0.0000000000,0.0011135747,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0379236042,0.0000000000,0.0084547810,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0012992707,0.0286801606,0.0495965667,0.0000000000,0.0000000000,0.0062244395,0.0060174237,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0083949519,0.0083467644,0.0000000000,0.0002712055,0.0586625636,0.0585742109,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0212959889,-0.0400981382,0.0146138472,0.0340538099,0.0006800551,-0.0000195421,0.0305696577,0.0006739521,0.0000274223
13:43:42:56.796,61,0.0000000000,0.0016441372,0.0490524024,0.0000000000,0.0000000000,0.0000000000,0.0375206023,0.0000000000,0.0016545489,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0375215337,0.0000000000,0.0086919554,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010421684,0.0290567987,0.0498513430,0.0000000000,0.0000000000,0.0063869380,0.0061668348,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0085004112,0.0084268078,0.0000000000,0.0002998082,0.0588876680,0.0587985180,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0214107968,-0.0396907590,0.0138326911,0.0334445387,0.0010106950,-0.0000338933,0.0299626384,0.0010045327,0.0000367937
13:43:42:57.798,61,0.0000000000,0.0020392609,0.0485619605,0.0000000000,0.0000000000,0.0000000000,0.0371437334,0.0000000000,0.0020492978,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0371447466,0.0000000000,0.0087924991,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008987015,0.0292779282,0.0499448963,0.0000000000,0.0000000000,0.0065424708,0.0063141650,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0085832831,0.0085035944,0.0000000000,0.0003329304,0.0590501353,0.0589604527,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0207573995,-0.0392430276,0.0133442571,0.0331539102,0.0012519641,-0.0000443888,0.0296630505,0.0012459077,0.0000435938
13:43:42:58.799,61,0.0000000000,0.0020000220,0.0472984463,0.0000000000,0.0000000000,0.0000000000,0.0367238708,0.0000000000,0.0020098619,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0367248841,0.0000000000,0.0088992845,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007237052,0.0293754451,0.0499022827,0.0000000000,0.0000000000,0.0067492137,0.0065052449,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0086629577,0.0085738469,0.0000000000,0.0003591739,0.0592672862,0.0591773801,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0188944228,-0.0403351262,0.0137231247,0.0323805511,0.0012279113,-0.0000445185,0.0288912635,0.0012219034,0.0000417667
13:43:42:59.801,61,0.0000000000,0.0018776195,0.0462853089,0.0000000000,0.0000000000,0.0000000000,0.0365410559,0.0000000000,0.0018874545,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0365422070,0.0000000000,0.0090157790,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0005407584,0.0294284169,0.0497879200,0.0000000000,0.0000000000,0.0069450270,0.0066883080,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0087639857,0.0086625228,0.0000000000,0.0003727352,0.0593251325,0.0592346974,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0168876573,-0.0424328931,0.0147355562,0.0317546614,0.0011531364,-0.0000421967,0.0282724146,0.0011471037,0.0000387561
13:43:43:00.802,61,0.0000000000,0.0019937749,0.0462448597,0.0000000000,0.0000000000,0.0000000000,0.0365338959,0.0000000000,0.0020036146,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0365350619,0.0000000000,0.0091283452,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002970053,0.0344910994,0.0529096015,0.0000000000,0.0000000000,0.0073491395,0.0070719155,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0089009786,0.0087875612,0.0000000000,0.0003899915,0.0596167333,0.0595259480,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0158313233,-0.0428270251,0.0154808583,0.0317083932,0.0012241355,-0.0000453451,0.0282476991,0.0012180605,0.0000407289
13:43:43:01.804,61,0.0000000000,0.0008820008,0.0457758829,0.0000000000,0.0000000000,0.0000000000,0.0367435738,0.0000000000,0.0008925779,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0367447585,0.0000000000,0.0093336776,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000676725,0.0447279736,0.0623876564,0.0000000000,0.0000000000,0.0077097095,0.0074281096,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0091540497,0.0090261754,0.0000000000,0.0003859248,0.0597503521,0.0596591681,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0154577056,-0.0435913950,0.0154579552,0.0314026996,0.0005450855,-0.0000160947,0.0279612578,0.0005388859,0.0000213042
13:43:43:02.806,61,0.0000000000,0.0000000000,0.0456181243,0.0000000000,0.0000000000,0.0000000000,0.0371699706,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0371711217,0.0000000000,0.0094869286,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0518107451,0.0689569935,0.0000000000,0.0000000000,0.0081018796,0.0078149587,0.0000000000,0.0000000000,0.0000000000,0.0000044411,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0094819749,0.0093447100,0.0000168296,0.0004077959,0.0601490699,0.0600574464,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0156892575,-0.0446152985,0.0152427657,0.0312940888,-0.0000296947,0.0000090208,0.0278649051,-0.0000358094,0.0000051986
13:43:43:03.807,61,0.0000000000,0.0000000000,0.0448553301,0.0000000000,0.0008237208,0.0000000000,0.0374263525,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007524136,0.0000000000,0.0374274515,0.0000000000,0.0095675876,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0578348450,0.0746692121,0.0000000000,0.0000000000,0.0086090919,0.0083072903,0.0000000000,0.0000000000,0.0000000000,0.0004174821,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0099320496,0.0097975079,0.0000564914,0.0004362486,0.0607187487,0.0606269017,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0165627301,-0.0451473556,0.0152819762,0.0308164991,-0.0005757285,0.0000331188,0.0273989644,-0.0005819958,-0.0000098708
13:43:43:04.809,61,0.0000000000,0.0000000000,0.0443183631,0.0000000000,0.0013277888,0.0000000000,0.0379270948,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0012562084,0.0000000000,0.0379281081,0.0000000000,0.0096302563,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0631883815,0.0814402103,0.0000000000,0.0000000000,0.0092328135,0.0089208838,0.0000000000,0.0000000000,0.0000000000,0.0010045159,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0104709128,0.0103529161,0.0000884134,0.0004609205,0.0613574348,0.0612659566,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0170270763,-0.0462239683,0.0149624394,0.0304701924,-0.0007957752,0.0000430616,0.0270709619,-0.0008020145,-0.0000157162
