Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:49:03:19.101,61,0.0000000000,0.0000000000,0.0506253839,0.0000000000,0.1615951806,0.2755793333,0.4889370501,0.0000000000,0.0000000000,0.0665597469,0.0000000000,0.1614132226,0.2756026089,0.4889252186,0.3265045881,0.0000000000,0.0271136872,0.0482392535,0.0504799336,0.1101193056,0.2293449044,0.0000000000,0.0294336472,0.0000000000,0.0000000000,0.7487467527,0.7394868731,0.0146961650,0.0149231181,0.1610825062,0.1677902639,0.2130437195,0.0401326679,0.5032509565,0.4890049100,0.1022578031,0.1035231873,0.0275736917,0.0297469366,0.0162795410,0.0188390221,0.1383389831,0.1383360624,0.5057763457,0.0000000000,0.0000000000,0.0970546976,0.1053839847,0.1144870967,0.0601407252,0.0628227070,0.0000041636,-0.0081686135,-0.0059960997,-0.0054606604,-0.0405581929,-0.0704878643,0.0028628113,0.0308484230,-0.0705428123,-0.0021794022
13:49:03:20.102,61,0.0000000000,0.0000000000,0.0505099110,0.0000000000,0.1628888100,0.2753934562,0.4887457788,0.0000000000,0.0000000000,0.0666516721,0.0000000000,0.1627057642,0.2754157484,0.4887341559,0.3267388642,0.0000000000,0.0273619201,0.0481916294,0.0504525825,0.1100116968,0.2290655971,0.0000000000,0.0295204371,0.0000000000,0.0000000000,0.7485315800,0.7392154932,0.0147202173,0.0149427019,0.1611870080,0.1679080427,0.2132693678,0.0401103459,0.5036507845,0.4893036783,0.1023507044,0.1036348194,0.0275132041,0.0296977125,0.0163093098,0.0188758224,0.1408083737,0.1408067346,0.5001415610,0.0000000000,0.0000000000,0.0973080546,0.1053020954,0.1143929139,0.0602715313,0.0629176274,0.0000038462,-0.0084125027,-0.0069494769,-0.0053794459,-0.0406125709,-0.0710524693,0.0028896865,0.0307768323,-0.0711073801,-0.0021918060
13:49:03:21.104,61,0.0000000000,0.0000000000,0.0504642949,0.0000000000,0.1605313122,0.2750298679,0.4875464737,0.0000000000,0.0000000000,0.0667273179,0.0000000000,0.1603488028,0.2750519514,0.4875353277,0.3267951012,0.0000000000,0.0275044199,0.0481054224,0.0504018739,0.1100362688,0.2289985716,0.0000000000,0.0295333136,0.0000000000,0.0000000000,0.7485090494,0.7391795516,0.0147030884,0.0149211306,0.1612196267,0.1679494828,0.2132296264,0.0400174409,0.5036709905,0.4892727137,0.1023873761,0.1036683768,0.0274516232,0.0296440460,0.0163368527,0.0189049058,0.1420771480,0.1420761049,0.4981925189,0.0000000000,0.0000000000,0.0974638909,0.1052034646,0.1142916530,0.0604107641,0.0630184114,0.0000041193,-0.0084125027,-0.0069494769,-0.0053794459,-0.0406616218,-0.0700233430,0.0028511316,0.0307512674,-0.0700781643,-0.0021581838
13:49:03:22.105,61,0.0000000000,0.0000000000,0.0505442172,0.0000000000,0.1594740003,0.2744544148,0.4869711399,0.0000000000,0.0000000000,0.0666439086,0.0000000000,0.1592923105,0.2744768262,0.4869600534,0.3263316453,0.0000000000,0.0275861118,0.0480052233,0.0503721610,0.1102666631,0.2291393578,0.0000000000,0.0294721443,0.0000000000,0.0000000000,0.7485296726,0.7392009497,0.0146508496,0.0148671223,0.1614076495,0.1681382209,0.2122258246,0.0398467593,0.4993871450,0.4847728610,0.1022060886,0.1034675688,0.0274116490,0.0296096187,0.0163156260,0.0188764315,0.1423985958,0.1423978359,0.4969930947,0.0000000000,0.0000000000,0.0975781828,0.1049616486,0.1140363440,0.0604715124,0.0630327165,0.0000071621,-0.0084125027,-0.0069494769,-0.0053794459,-0.0406121053,-0.0695618317,0.0028288320,0.0308009665,-0.0696167275,-0.0021473903
13:49:03:23.107,61,0.0000000000,0.0000000000,0.0503096804,0.0000000000,0.1592974961,0.2738688588,0.4863687158,0.0000000000,0.0000000000,0.0668993592,0.0000000000,0.1591144502,0.2738918960,0.4863579869,0.3260713816,0.0000000000,0.0275449492,0.0478621908,0.0502938516,0.1105269417,0.2293129116,0.0000000000,0.0292609967,0.0000000000,0.0000000000,0.7489954233,0.7398197651,0.0145948045,0.0148047749,0.1617623866,0.1684262455,0.2115706354,0.0396720767,0.4981050491,0.4834105372,0.1019681022,0.1032228619,0.0273714699,0.0295595787,0.0162893254,0.0188380461,0.1411558539,0.1411530375,0.4961312115,0.0000000000,0.0000000000,0.0975436121,0.1046801582,0.1137191653,0.0604401827,0.0629415363,0.0000087780,-0.0084125027,-0.0069494769,-0.0053794459,-0.0407679863,-0.0694846138,0.0028365224,0.0306582041,-0.0695393682,-0.0021350577
13:49:03:24.109,61,0.0000000000,0.0000000000,0.0500614755,0.0000000000,0.1589303166,0.2734287381,0.4859643281,0.0000000000,0.0000000000,0.0671413317,0.0000000000,0.1587456167,0.2734518349,0.4859541953,0.3259358108,0.0000000000,0.0275166035,0.0477618985,0.0502501354,0.1108073294,0.2290819734,0.0000000000,0.0289693568,0.0000000000,0.0000000000,0.7495537996,0.7405631542,0.0145537155,0.0147541445,0.1623208821,0.1689015031,0.2110559046,0.0395561308,0.4970127344,0.4823030233,0.1017045975,0.1029545963,0.0273762029,0.0295482520,0.0162691157,0.0187970437,0.1370738000,0.1370623112,0.4958830774,0.0000000000,0.0000000000,0.0974029675,0.1045737937,0.1135274768,0.0604326576,0.0628631637,0.0000112160,-0.0084125027,-0.0069494769,-0.0053794459,-0.0409159064,-0.0693239644,0.0028402051,0.0305072926,-0.0693787560,-0.0021196289
13:49:03:25.110,61,0.0000000000,0.0000000000,0.0494742654,0.0000000000,0.1586065590,0.2732305825,0.4854081571,0.0000000000,0.0000000000,0.0677328780,0.0000000000,0.1584180444,0.2732537985,0.4853985608,0.3256122172,0.0000000000,0.0274408646,0.0477312952,0.0502799526,0.1111443862,0.2287694812,0.0000000000,0.0286872424,0.0000000000,0.0000000000,0.7497900724,0.7409157753,0.0145282904,0.0147214308,0.1629284322,0.1694147140,0.2105589360,0.0394950956,0.4914303720,0.4766111076,0.1014405265,0.1026782021,0.0274403244,0.0296035819,0.0162319969,0.0187367890,0.1351710856,0.1351556480,0.4963276982,0.0000000000,0.0000000000,0.0973855779,0.1045293435,0.1134087965,0.0604465306,0.0628065169,0.0000128402,-0.0084125027,-0.0069494769,-0.0053794459,-0.0412768014,-0.0691819340,0.0028593538,0.0301497504,-0.0692366883,-0.0020904911
13:49:03:26.112,61,0.0000000000,0.0000000000,0.0483943671,0.0000000000,0.1596231610,0.2731152475,0.4849503040,0.0000000000,0.0000000000,0.0687960163,0.0000000000,0.1594267339,0.2731390893,0.4849413335,0.3253366947,0.0000000000,0.0273182988,0.0476684682,0.0502623059,0.1113136113,0.2287885696,0.0000000000,0.0284326132,0.0000000000,0.0000000000,0.7497882843,0.7409748435,0.0145198070,0.0147063928,0.1632942706,0.1696802378,0.2101573199,0.0394465774,0.4896049500,0.4746845067,0.1012818068,0.1025159210,0.0274732541,0.0296260770,0.0161926635,0.0186776463,0.1321610212,0.1321453303,0.4965909421,0.0000000000,0.0000000000,0.0974505395,0.1043409556,0.1131661385,0.0603659116,0.0626668483,0.0000114974,-0.0084125027,-0.0069494769,-0.0053794459,-0.0419234037,-0.0696243122,0.0029227491,0.0294907428,-0.0696790963,-0.0020579188
13:49:03:27.113,61,0.0000000000,0.0000000000,0.0472803265,0.0000000000,0.1615014672,0.2740049064,0.4846179783,0.0000000000,0.0000000000,0.0698910058,0.0000000000,0.1612962931,0.2740356326,0.4846095741,0.3249176443,0.0000000000,0.0271114074,0.0476497635,0.0502668396,0.1113215312,0.2288682312,0.0000000000,0.0282089747,0.0000000000,0.0000000000,0.7494612932,0.7406929731,0.0145283937,0.0147119649,0.1635423601,0.1698429435,0.2098270506,0.0394374579,0.4880702198,0.4732655287,0.1011472270,0.1023796052,0.0275173355,0.0296612568,0.0161328912,0.0185932685,0.1310433894,0.1310273409,0.4988653660,0.0000000000,0.0000000000,0.0974859521,0.1042497456,0.1130656302,0.0602565445,0.0625203252,0.0000121761,-0.0089644734,-0.0077337325,-0.0049319048,-0.0425882414,-0.0704427660,0.0030040881,0.0288102124,-0.0704976171,-0.0020341384
13:49:03:28.115,61,0.0000000000,0.0000000000,0.0464123897,0.0000000000,0.1645941734,0.2748437524,0.4846925437,0.0000000000,0.0000000000,0.0706905499,0.0000000000,0.1643813550,0.2748792470,0.4846844673,0.3243103027,0.0000000000,0.0270396490,0.0476376526,0.0502936654,0.1113181263,0.2289510518,0.0000000000,0.0281625707,0.0000000000,0.0000000000,0.7490180135,0.7402269244,0.0145224892,0.0147067178,0.1636549383,0.1699303538,0.2093551755,0.0394256078,0.4837223887,0.4695082903,0.1009274870,0.1021666825,0.0275611505,0.0297084283,0.0160418805,0.0184803288,0.1254411936,0.1254311353,0.5035201907,0.0000000000,0.0000000000,0.0975971520,0.1041074544,0.1129502729,0.0600917861,0.0623412579,0.0000151216,-0.0095268562,-0.0095407348,-0.0051902556,-0.0430713072,-0.0717915818,0.0030965132,0.0282786135,-0.0718465298,-0.0020349491
13:49:03:29.117,61,0.0000000000,0.0000000000,0.0462347530,0.0000000000,0.1680130959,0.2765423656,0.4847798049,0.0000000000,0.0000000000,0.0708144307,0.0000000000,0.1677975357,0.2765853107,0.4847719669,0.3239639401,0.0000000000,0.0269167889,0.0476437099,0.0503303260,0.1113476306,0.2291084677,0.0000000000,0.0281537957,0.0000000000,0.0000000000,0.7486844063,0.7398348451,0.0145231187,0.0147064077,0.1637644172,0.1700121909,0.2090611756,0.0394539349,0.4820908606,0.4680731595,0.1007877663,0.1020457447,0.0276005454,0.0297510419,0.0159519836,0.0183773562,0.1185306162,0.1185248494,0.5061615109,0.0000000000,0.0000000000,0.0977388248,0.1040360332,0.1129224151,0.0599130131,0.0621668920,0.0000176875,-0.0097344266,-0.0114050498,-0.0059377933,-0.0431421176,-0.0732837915,0.0031662972,0.0281673223,-0.0733386800,-0.0020691892
13:49:03:30.118,61,0.0000000000,0.0000000000,0.0461514629,0.0000000000,0.1669030488,0.2774006426,0.4846700132,0.0000000000,0.0000000000,0.0708960593,0.0000000000,0.1666872203,0.2774454653,0.4846623838,0.3233672082,0.0000000000,0.0269248262,0.0476505905,0.0503787026,0.1114186347,0.2292354107,0.0000000000,0.0281826630,0.0000000000,0.0000000000,0.7472152710,0.7380884886,0.0145417824,0.0147242779,0.1639100462,0.1701644212,0.2085725516,0.0394578017,0.4802194238,0.4660383761,0.1006701365,0.1019406468,0.0276665911,0.0298261065,0.0158788562,0.0182896368,0.1158691868,0.1158649027,0.5082755089,0.0000000000,0.0000000000,0.0979474783,0.1039563417,0.1128793955,0.0597887076,0.0620386451,0.0000220153,-0.0095611066,-0.0124206655,-0.0065521551,-0.0431933813,-0.0727990419,0.0031490135,0.0281175785,-0.0728540421,-0.0020518380
13:49:03:31.119,61,0.0000000000,0.0000000000,0.0456492044,0.0000000000,0.1680215597,0.2779316008,0.4843187332,0.0000000000,0.0000000000,0.0713690668,0.0000000000,0.1678016335,0.2779772878,0.4843113720,0.3229470253,0.0000000000,0.0269152243,0.0476499014,0.0504238792,0.1115857884,0.2291986346,0.0000000000,0.0280998237,0.0000000000,0.0000000000,0.7468489408,0.7376916409,0.0145251425,0.0147037040,0.1641151011,0.1703519821,0.2079915404,0.0394361094,0.4785519540,0.4642842114,0.1004380584,0.1017182246,0.0277302191,0.0298907720,0.0158071965,0.0181969218,0.1142656431,0.1142617688,0.5099151134,0.0000000000,0.0000000000,0.0979564115,0.1039369777,0.1128699332,0.0596766211,0.0619056001,0.0000213757,-0.0092942994,-0.0134919882,-0.0069736964,-0.0434800088,-0.0732866675,0.0031912050,0.0278105885,-0.0733416528,-0.0020430728
13:49:03:32.121,61,0.0000000000,0.0000000000,0.0452517606,0.0000000000,0.1680589914,0.2780712545,0.4841123521,0.0000000000,0.0000000000,0.0717739984,0.0000000000,0.1678363383,0.2781164944,0.4841053784,0.3229466379,0.0000000000,0.0268967710,0.0476611294,0.0504670292,0.1117121130,0.2292175293,0.0000000000,0.0279707629,0.0000000000,0.0000000000,0.7465385795,0.7373936176,0.0145239439,0.0146981645,0.1642515361,0.1704453975,0.2077629417,0.0394752659,0.4778793454,0.4634906054,0.1003830880,0.1016650051,0.0277917068,0.0299516991,0.0157667566,0.0181385577,0.1133136153,0.1133095324,0.5104585290,0.0000000000,0.0000000000,0.0981832594,0.1038705185,0.1127822697,0.0596303120,0.0618254580,0.0000182130,-0.0088864956,-0.0129161468,-0.0065508476,-0.0437266529,-0.0733026117,0.0032099967,0.0275684241,-0.0733574927,-0.0020257267
13:49:03:33.122,61,0.0000000000,0.0000000000,0.0445313603,0.0000000000,0.1671596020,0.2779989839,0.4835761487,0.0000000000,0.0000000000,0.0725000128,0.0000000000,0.1669322848,0.2780441344,0.4835695326,0.3229238391,0.0000000000,0.0267849937,0.0476433933,0.0504700430,0.1117996126,0.2291095853,0.0000000000,0.0278024208,0.0000000000,0.0000000000,0.7463310957,0.7372209430,0.0145331249,0.0147029869,0.1644157618,0.1705489010,0.2075680792,0.0394881517,0.4776426256,0.4631649554,0.1003501490,0.1016313583,0.0278337058,0.0299883317,0.0157483630,0.0181051511,0.1128073782,0.1128030196,0.5109859705,0.0000000000,0.0000000000,0.0982646868,0.1038178131,0.1127304658,0.0595931448,0.0617515855,0.0000173924,-0.0089796642,-0.0118348598,-0.0059142509,-0.0441702306,-0.0729091838,0.0032250739,0.0271303207,-0.0729640350,-0.0019828123
13:49:03:34.124,61,0.0000000000,0.0000000000,0.0444588698,0.0000000000,0.1679505259,0.2780356407,0.4831881225,0.0000000000,0.0000000000,0.0725530460,0.0000000000,0.1677221358,0.2780806422,0.4831816554,0.3226596415,0.0000000000,0.0267340261,0.0475808196,0.0504350998,0.1119017005,0.2291488647,0.0000000000,0.0277106129,0.0000000000,0.0000000000,0.7460781932,0.7369647026,0.0145392409,0.0147076752,0.1645685583,0.1706653982,0.2071271092,0.0394532755,0.4774622619,0.4628754258,0.1002899483,0.1015776917,0.0278554074,0.0300083030,0.0157145783,0.0180613510,0.1124927849,0.1124883443,0.5111351013,0.0000000000,0.0000000000,0.0983870476,0.1036705747,0.1125795543,0.0594946332,0.0616310015,0.0000177703,-0.0094665503,-0.0101856608,-0.0051679411,-0.0442014262,-0.0732542500,0.0032426799,0.0270854738,-0.0733091682,-0.0019889327
13:49:03:35.126,61,0.0000000000,0.0000000000,0.0443846770,0.0000000000,0.1689269692,0.2783246338,0.4829488397,0.0000000000,0.0000000000,0.0726359487,0.0000000000,0.1686974764,0.2783704102,0.4829424918,0.3228516579,0.0000000000,0.0266396478,0.0475699902,0.0504271053,0.1119216457,0.2293711305,0.0000000000,0.0276278853,0.0000000000,0.0000000000,0.7460225224,0.7368940115,0.0145564210,0.0147243310,0.1646712571,0.1707299650,0.2071081549,0.0394966528,0.4777350426,0.4630128443,0.1003358960,0.1016416773,0.0278671123,0.0300130192,0.0156806391,0.0180193391,0.1121683493,0.1121639311,0.5111424327,0.0000000000,0.0000000000,0.0985421836,0.1035434455,0.1124609485,0.0593348891,0.0614680089,0.0000237752,-0.0095897345,-0.0092239762,-0.0048975283,-0.0442505516,-0.0736804232,0.0032652344,0.0270394180,-0.0737352893,-0.0019971344
13:49:03:36.127,61,0.0000000000,0.0000000000,0.0443819538,0.0000000000,0.1697392166,0.2788439989,0.4826685786,0.0000000000,0.0000000000,0.0726459920,0.0000000000,0.1695091873,0.2788901031,0.4826624393,0.3231003582,0.0000000000,0.0266460627,0.0476048812,0.0504465401,0.1118723527,0.2294694632,0.0000000000,0.0276019666,0.0000000000,0.0000000000,0.7458443046,0.7367140055,0.0145986732,0.0147637809,0.1647222936,0.1707791686,0.2073346525,0.0396115258,0.4780175388,0.4631976485,0.1004676893,0.1017947122,0.0278954916,0.0300408732,0.0156537704,0.0179865081,0.1119818464,0.1119774505,0.5110365152,0.0000000000,0.0000000000,0.0987608284,0.1035208702,0.1124473438,0.0592174195,0.0613493249,0.0000330633,-0.0095711183,-0.0087828683,-0.0053230170,-0.0442555062,-0.0740349442,0.0032813707,0.0270370543,-0.0740898326,-0.0020065971
13:49:03:37.129,61,0.0000000000,0.0000000000,0.0443162620,0.0000000000,0.1694889665,0.2790634036,0.4826184809,0.0000000000,0.0000000000,0.0727238506,0.0000000000,0.1692583710,0.2791098356,0.4826127291,0.3232099116,0.0000000000,0.0265619736,0.0476472415,0.0504821241,0.1118418500,0.2294941097,0.0000000000,0.0275258496,0.0000000000,0.0000000000,0.7458851337,0.7367842197,0.0146168098,0.0147814415,0.1648357660,0.1708675921,0.2075197548,0.0396923646,0.4782198668,0.4633718729,0.1004958451,0.1018339694,0.0279255006,0.0300687887,0.0156298522,0.0179509223,0.1117420271,0.1117373407,0.5110169649,0.0000000000,0.0000000000,0.0988278240,0.1035340205,0.1124607772,0.0591543578,0.0612829365,0.0000352890,-0.0095274970,-0.0094874389,-0.0059036328,-0.0443032980,-0.0739255622,0.0032800406,0.0269972552,-0.0739805177,-0.0020006767
13:49:03:38.130,61,0.0000000000,0.0000000000,0.0446398929,0.0000000000,0.1690999120,0.2791870832,0.4822896421,0.0000000000,0.0000000000,0.0724251196,0.0000000000,0.1688717902,0.2792330384,0.4822840989,0.3231512904,0.0000000000,0.0266516916,0.0476749800,0.0505124480,0.1118602678,0.2294003814,0.0000000000,0.0275397487,0.0000000000,0.0000000000,0.7460055947,0.7369417548,0.0146242380,0.0147888064,0.1649683267,0.1710362732,0.2074979842,0.0397362001,0.4781920910,0.4633106291,0.1004341543,0.1017798930,0.0279605873,0.0301080216,0.0155994594,0.0179136917,0.1114947498,0.1114897951,0.5112448335,0.0000000000,0.0000000000,0.0988241136,0.1035528183,0.1124674827,0.0590770505,0.0612069070,0.0000332652,-0.0094429050,-0.0108363926,-0.0064699980,-0.0441218615,-0.0737561136,0.0032591021,0.0271947496,-0.0738110989,-0.0020106770
13:49:03:39.132,61,0.0000000000,0.0000000000,0.0447778851,0.0000000000,0.1690903604,0.2796888053,0.4822707772,0.0000000000,0.0000000000,0.0723131225,0.0000000000,0.1688630432,0.2797348201,0.4822655618,0.3232294619,0.0000000000,0.0266100410,0.0476681106,0.0504901148,0.1117832288,0.2293364853,0.0000000000,0.0275089275,0.0000000000,0.0000000000,0.7459142804,0.7368491292,0.0146621140,0.0148272365,0.1650544703,0.1710998267,0.2076546997,0.0397982411,0.4786010683,0.4636871815,0.1005345434,0.1018975526,0.0279767141,0.0301196035,0.0155900121,0.0178982113,0.1114804149,0.1114749908,0.5116215944,0.0000000000,0.0000000000,0.0988817662,0.1036217138,0.1125345081,0.0590039529,0.0611361489,0.0000292298,-0.0090589803,-0.0119532449,-0.0070324112,-0.0440536514,-0.0737520903,0.0032538883,0.0272788238,-0.0738070905,-0.0020167821
13:49:03:40.134,61,0.0000000000,0.0000000000,0.0447843038,0.0000000000,0.1693414301,0.2802336216,0.4821371734,0.0000000000,0.0000000000,0.0723203495,0.0000000000,0.1691138446,0.2802794576,0.4821322262,0.3232929111,0.0000000000,0.0266396012,0.0477059036,0.0505121052,0.1116418540,0.2291882038,0.0000000000,0.0275165159,0.0000000000,0.0000000000,0.7456632257,0.7365960479,0.0147016943,0.0148675190,0.1650864035,0.1711330265,0.2078675926,0.0398975126,0.4786128402,0.4637220204,0.1005824655,0.1019627601,0.0280146506,0.0301591866,0.0155710001,0.0178751610,0.1112792268,0.1112735495,0.5118553638,0.0000000000,0.0000000000,0.0989537239,0.1036734581,0.1125840396,0.0589463487,0.0610872544,0.0000216905,-0.0089905728,-0.0125355814,-0.0069189868,-0.0440576971,-0.0738616362,0.0032590379,0.0272825137,-0.0739166960,-0.0020200608
13:49:03:41.135,61,0.0000000000,0.0000000000,0.0450592749,0.0000000000,0.1701126993,0.2808238864,0.4817154109,0.0000000000,0.0000000000,0.0720631704,0.0000000000,0.1698867530,0.2808709145,0.4817105234,0.3233497739,0.0000000000,0.0265589654,0.0477147140,0.0505170450,0.1115822196,0.2293373048,0.0000000000,0.0275423415,0.0000000000,0.0000000000,0.7456465960,0.7365387678,0.0147098135,0.0148788858,0.1650472432,0.1710896790,0.2079946101,0.0399366245,0.4789637625,0.4640756547,0.1006591991,0.1020479053,0.0280148201,0.0301590078,0.0155547820,0.0178595297,0.1116410270,0.1116354093,0.5116678476,0.0000000000,0.0000000000,0.0990365744,0.1037310883,0.1126799658,0.0589011014,0.0610577688,0.0000208880,-0.0090161990,-0.0132259969,-0.0068891919,-0.0438999273,-0.0741986930,0.0032622484,0.0274493415,-0.0742536858,-0.0020417096
13:49:03:42.137,61,0.0000000000,0.0000000000,0.0457993969,0.0000000000,0.1715628803,0.2814892232,0.4812500477,0.0000000000,0.0000000000,0.0713425055,0.0000000000,0.1713413149,0.2815367281,0.4812453091,0.3238764405,0.0000000000,0.0265398435,0.0477901585,0.0505763032,0.1115113124,0.2295379490,0.0000000000,0.0275848638,0.0000000000,0.0000000000,0.7458366156,0.7366964221,0.0147131449,0.0148859955,0.1649416834,0.1709919721,0.2083770782,0.0400614925,0.4791664481,0.4642808437,0.1007649004,0.1021689698,0.0280361101,0.0301819351,0.0155222472,0.0178295430,0.1117253974,0.1117198840,0.5102435946,0.0000000000,0.0000000000,0.0991725028,0.1037871093,0.1127627045,0.0588142276,0.0609972067,0.0000192138,-0.0090972977,-0.0131876180,-0.0070663705,-0.0434588492,-0.0748325363,0.0032571834,0.0278988890,-0.0748876184,-0.0020929214
13:49:03:43.138,61,0.0000000000,0.0000000000,0.0463542640,0.0000000000,0.1722308695,0.2819570601,0.4810231328,0.0000000000,0.0000000000,0.0707826018,0.0000000000,0.1720134020,0.2820050716,0.4810186625,0.3241792321,0.0000000000,0.0264619663,0.0478362404,0.0506358519,0.1115613654,0.2295939326,0.0000000000,0.0275403578,0.0000000000,0.0000000000,0.7460902333,0.7369520664,0.0146855563,0.0148591166,0.1649266034,0.1709557921,0.2084737271,0.0401017889,0.4791167676,0.4642945826,0.1007235274,0.1021147445,0.0280540381,0.0301985703,0.0154961394,0.0177979618,0.1118134111,0.1118076444,0.5098851323,0.0000000000,0.0000000000,0.0991840661,0.1038769335,0.1128508598,0.0588083602,0.0610005222,0.0000209739,-0.0093274992,-0.0134974467,-0.0069962228,-0.0431168266,-0.0751249567,0.0032442405,0.0282362681,-0.0751799121,-0.0021265231
13:49:03:44.140,61,0.0000000000,0.0000000000,0.0466722324,0.0000000000,0.1715973020,0.2819482982,0.4792363942,0.0000000000,0.0000000000,0.0704795793,0.0000000000,0.1713822931,0.2819964886,0.4792320132,0.3242007494,0.0000000000,0.0264002141,0.0477754995,0.0505837798,0.1115805060,0.2298628986,0.0000000000,0.0275337957,0.0000000000,0.0000000000,0.7461695075,0.7370023131,0.0146702258,0.0148440041,0.1648083925,0.1708147228,0.2082789242,0.0400718413,0.4793633223,0.4644981921,0.1007471532,0.1021383852,0.0280391928,0.0301795844,0.0154807195,0.0177870002,0.1119430289,0.1119373590,0.5091401935,0.0000000000,0.0000000000,0.0992379561,0.1037539765,0.1127320230,0.0587398000,0.0609399565,0.0000200147,-0.0095723374,-0.0138992900,-0.0073767281,-0.0429331325,-0.0748487413,0.0032185051,0.0284305476,-0.0749037787,-0.0021332565
13:49:03:45.141,61,0.0000000000,0.0000000000,0.0471493527,0.0000000000,0.1709672958,0.2817062438,0.4784219265,0.0000000000,0.0000000000,0.0700150952,0.0000000000,0.1707558334,0.2817539871,0.4784176350,0.3242254853,0.0000000000,0.0264269933,0.0477341302,0.0505677946,0.1116965935,0.2303133011,0.0000000000,0.0275126845,0.0000000000,0.0000000000,0.7463716269,0.7372096181,0.0146345040,0.0148079414,0.1647016406,0.1707054973,0.2080474347,0.0400292501,0.4796119034,0.4646822810,0.1007413715,0.1021246910,0.0280222706,0.0301610772,0.0154600358,0.0177711807,0.1119734049,0.1119678840,0.5051386356,0.0000000000,0.0000000000,0.0993901044,0.1035957783,0.1125684679,0.0587064847,0.0609035082,0.0000179093,-0.0098351883,-0.0128611680,-0.0070490404,-0.0426510610,-0.0745742247,0.0031856026,0.0287217759,-0.0746293962,-0.0021471784
13:49:03:46.143,61,0.0000000000,0.0000000000,0.0480786599,0.0000000000,0.1695075482,0.2811359167,0.4777345359,0.0000000000,0.0000000000,0.0691012368,0.0000000000,0.1693037301,0.2811836898,0.4777303040,0.3240010440,0.0000000000,0.0263623782,0.0476576947,0.0505128466,0.1117525026,0.2305605710,0.0000000000,0.0274329502,0.0000000000,0.0000000000,0.7466382384,0.7374898791,0.0145984776,0.0147714065,0.1647049040,0.1706863195,0.2076854706,0.0399327651,0.4798202813,0.4648867846,0.1006342024,0.1020073742,0.0279957075,0.0301272068,0.0154486261,0.0177629627,0.1121532023,0.1121477261,0.5029457211,0.0000000000,0.0000000000,0.0993062332,0.1034060642,0.1123698726,0.0586699657,0.0608716980,0.0000168677,-0.0094772372,-0.0127368094,-0.0067727105,-0.0420963503,-0.0739383101,0.0031172864,0.0292892661,-0.0739934221,-0.0021708629
13:49:03:47.144,61,0.0000000000,0.0000000000,0.0483239517,0.0000000000,0.1685972214,0.2806856632,0.4774244726,0.0000000000,0.0000000000,0.0688527077,0.0000000000,0.1683958620,0.2807328403,0.4774202704,0.3239666522,0.0000000000,0.0263817813,0.0475801900,0.0504561700,0.1118067428,0.2309001386,0.0000000000,0.0273665134,0.0000000000,0.0000000000,0.7466222048,0.7374818921,0.0145766539,0.0147491600,0.1646471471,0.1706217378,0.2074120343,0.0398545787,0.4802237153,0.4652208388,0.1006555557,0.1020287797,0.0279621910,0.0300878752,0.0154548371,0.0177741889,0.1124573275,0.1124520078,0.4994933605,0.0000000000,0.0000000000,0.0994284302,0.1032124460,0.1121567935,0.0586737208,0.0608656369,0.0000136904,-0.0096266055,-0.0116025265,-0.0067902743,-0.0419461839,-0.0735413581,0.0030894363,0.0294395629,-0.0735963508,-0.0021702480
13:49:03:48.146,61,0.0000000000,0.0000000000,0.0482402183,0.0000000000,0.1675229669,0.2801608145,0.4772971272,0.0000000000,0.0000000000,0.0689336360,0.0000000000,0.1673216075,0.2802072167,0.4772928655,0.3241730034,0.0000000000,0.0264302753,0.0475432239,0.0504413731,0.1119143516,0.2310875058,0.0000000000,0.0273507908,0.0000000000,0.0000000000,0.7468762994,0.7377313375,0.0145508125,0.0147228194,0.1646713614,0.1706518233,0.2073152959,0.0398139097,0.4806446731,0.4655898809,0.1006562710,0.1020312458,0.0279356986,0.0300620981,0.0154656302,0.0177901313,0.1124851853,0.1124801189,0.4980507195,0.0000000000,0.0000000000,0.0994931608,0.1031042337,0.1120234802,0.0587037019,0.0608835220,0.0000128446,-0.0097571760,-0.0100161675,-0.0060591130,-0.0419969298,-0.0730723590,0.0030733752,0.0293895639,-0.0731273144,-0.0021527060
