Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:44:13:45.852,61,0.0000000000,0.0000000000,0.1835150421,0.0000000000,0.0124626365,0.0291246027,0.6894636750,0.0000000000,0.0000000000,0.0000000000,0.0655272231,0.0124577191,0.0285870712,0.6894882917,0.0153664369,0.0000000000,0.0341907442,0.0087448573,0.0157485884,0.0136139747,0.0219558850,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000473671,0.0000000000,0.0341442972,0.0419738628,0.0200394411,0.0035666528,0.0562695861,0.0638483092,0.0152109228,0.0100620817,0.0158075579,0.0164042953,0.0023920587,0.0015288719,0.2644595504,0.2635458410,0.1362947375,0.0000000000,0.0000000000,0.0142522193,0.0254742652,0.0108578159,0.0152550079,0.0196966995,0.0000000000,0.0984984040,-0.0951318741,0.0095997229,0.1151813865,-0.0056871660,-0.0001991440,0.1120947748,-0.0056946622,-0.0006123307
13:44:13:46.854,61,0.0000000000,0.0000000000,0.1832533628,0.0000000000,0.0110389525,0.0295883343,0.6905924678,0.0000000000,0.0000000000,0.0000000000,0.0652466714,0.0110263843,0.0290524196,0.6906176805,0.0153743764,0.0000000000,0.0339949802,0.0088076079,0.0158403385,0.0135109983,0.0214671586,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001267570,0.0000000000,0.0346439444,0.0424619131,0.0198008101,0.0035681834,0.0557135530,0.0633114651,0.0149933724,0.0098348530,0.0159931853,0.0165701807,0.0023758071,0.0014947244,0.2724424899,0.2715034485,0.1360610723,0.0000000000,0.0000000000,0.0138174277,0.0255452991,0.0108933914,0.0152310897,0.0196320247,0.0000000000,0.0984984040,-0.0951318741,0.0095997229,0.1150101349,-0.0050620954,-0.0001733060,0.1119352877,-0.0050694491,-0.0005416022
13:44:13:47.855,61,0.0000000000,0.0000000000,0.1834228188,0.0000000000,0.0103286123,0.0300608594,0.6913728714,0.0000000000,0.0000000000,0.0000000000,0.0654211044,0.0103122201,0.0295250993,0.6913988590,0.0153158959,0.0000000000,0.0338338800,0.0087773986,0.0158323310,0.0133498199,0.0208805129,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002028403,0.0000000000,0.0350949168,0.0429199561,0.0194817018,0.0035175374,0.0553007238,0.0629127622,0.0148004182,0.0096319197,0.0161222499,0.0166796949,0.0023732472,0.0014774879,0.2793513536,0.2784017920,0.1352969408,0.0000000000,0.0000000000,0.0133646531,0.0256591979,0.0109623158,0.0153202806,0.0196859427,0.0000000000,0.0984984040,-0.0951318741,0.0095997229,0.1151167452,-0.0047502536,-0.0001613598,0.1120389700,-0.0047576055,-0.0005072241
13:44:13:48.857,61,0.0000000000,0.0000000000,0.1834509373,0.0000000000,0.0073249685,0.0299724024,0.6920180917,0.0000000000,0.0000000000,0.0000000000,0.0654263720,0.0072924565,0.0294391476,0.6920446754,0.0152203562,0.0000000000,0.0335868895,0.0087301433,0.0158114713,0.0132027268,0.0204394236,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002489078,0.0000101527,0.0354267024,0.0432367362,0.0192249473,0.0034176216,0.0551123098,0.0627224669,0.0146465544,0.0094617689,0.0162324067,0.0167796668,0.0023859828,0.0014802848,0.2829278409,0.2819770873,0.1350585520,0.0000000000,0.0000000000,0.0129467323,0.0257189125,0.0110056642,0.0154046165,0.0197438132,0.0000000000,0.0984984040,-0.0951318741,0.0095997229,0.1151201725,-0.0034315810,-0.0001086857,0.1120567098,-0.0034387498,-0.0003597777
13:44:13:49.859,61,0.0000000000,0.0000000000,0.1837080866,0.0000000000,0.0064496114,0.0299551245,0.6924000382,0.0000000000,0.0000000000,0.0000000000,0.0656835511,0.0064121820,0.0294191595,0.6924268007,0.0151879173,0.0000000000,0.0335381553,0.0086198263,0.0156860054,0.0129782557,0.0199023802,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003250717,0.0000860883,0.0354821868,0.0432932787,0.0191881359,0.0034128828,0.0550519638,0.0625139698,0.0146815600,0.0094873738,0.0162841678,0.0168320779,0.0023900126,0.0014753446,0.2850134671,0.2840796113,0.1348767877,0.0000000000,0.0000000000,0.0127270343,0.0257522780,0.0110030659,0.0154935680,0.0197935775,0.0000000693,0.0984984040,-0.0951318741,0.0095997229,0.1152773201,-0.0030471992,-0.0000937670,0.1122139022,-0.0030544410,-0.0003172318
13:44:13:50.860,61,0.0000000000,0.0000000000,0.1838045567,0.0000000000,0.0072533879,0.0300439112,0.6920241117,0.0000000000,0.0000000000,0.0000000000,0.0657942221,0.0072206031,0.0295041595,0.6920515299,0.0151183382,0.0000000000,0.0335480720,0.0085918559,0.0156698022,0.0129407914,0.0196911711,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003713979,0.0001333055,0.0355575420,0.0433882847,0.0191568788,0.0033513794,0.0551134460,0.0625452697,0.0146875149,0.0094876178,0.0163218156,0.0168736577,0.0024113373,0.0014899115,0.2859616280,0.2850327790,0.1352480352,0.0000000000,0.0000000000,0.0124384062,0.0258257855,0.0110426666,0.0155504607,0.0198089182,0.0000003415,0.0990502387,-0.0957346112,0.0101332255,0.1153448820,-0.0034002317,-0.0001081411,0.1122727245,-0.0034073968,-0.0003569543
13:44:13:51.862,61,0.0000000000,0.0000000000,0.1838396043,0.0000000000,0.0083686216,0.0302726775,0.6853113174,0.0000000000,0.0000000000,0.0000000000,0.0658261180,0.0083418470,0.0297295917,0.6853480935,0.0150103411,0.0000000000,0.0336138681,0.0085474104,0.0156463943,0.0130994441,0.0197990667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003981820,0.0001588185,0.0356043838,0.0434480980,0.0190079454,0.0032616137,0.0552064739,0.0625962988,0.0147561431,0.0095381169,0.0163776018,0.0169403516,0.0024409667,0.0015113176,0.2867255211,0.2857984006,0.1363230497,0.0000000000,0.0000000000,0.0123117417,0.0259470809,0.0111217806,0.0156363267,0.0198398829,0.0000003597,0.0996534824,-0.0960991830,0.0109122638,0.1153642908,-0.0038898648,-0.0001278857,0.1122939363,-0.0038971030,-0.0004119149
13:44:13:52.863,61,0.0000000000,0.0000000000,0.1835673302,0.0000000000,0.0104682213,0.0307951551,0.6801964045,0.0000000000,0.0000000000,0.0000000000,0.0655289292,0.0104526486,0.0302529670,0.6802398562,0.0148611721,0.0000000000,0.0335076004,0.0083887782,0.0154766822,0.0132390112,0.0199999399,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004172718,0.0001762711,0.0355591327,0.0433591641,0.0188829545,0.0031194200,0.0556891933,0.0630614534,0.0149291828,0.0096886046,0.0163554139,0.0169237610,0.0024802829,0.0015460048,0.2918466926,0.2909221649,0.1372075230,0.0000000000,0.0000000000,0.0122302994,0.0260176659,0.0111879716,0.0156766698,0.0198300276,0.0000003193,0.0999511480,-0.0966919661,0.0111512821,0.1151826084,-0.0048115873,-0.0001641107,0.1121271998,-0.0048189494,-0.0005144881
13:44:13:53.865,61,0.0000000000,0.0000000000,0.1836187094,0.0000000000,0.0101267118,0.0314661153,0.6790255308,0.0000000000,0.0000000000,0.0000000000,0.0655743182,0.0101095000,0.0309225507,0.6790705323,0.0148504386,0.0000000000,0.0334947258,0.0083792256,0.0154699469,0.0134472698,0.0201009922,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004431588,0.0002001249,0.0358845815,0.0436907634,0.0186302811,0.0030092497,0.0558259226,0.0635690168,0.0149002727,0.0096428813,0.0164926536,0.0170605648,0.0025344843,0.0015945976,0.2935258150,0.2925987840,0.1377997994,0.0000000000,0.0000000000,0.0119623849,0.0262082536,0.0113476338,0.0157751646,0.0198933519,0.0000002364,0.1007173359,-0.0966699123,0.0106368521,0.1152103543,-0.0046617454,-0.0001582366,0.1121586487,-0.0046690125,-0.0004978446
13:44:13:54.866,61,0.0000000000,0.0000000000,0.1843038499,0.0000000000,0.0090344278,0.0321605131,0.6812301874,0.0000000000,0.0000000000,0.0000000000,0.0662781000,0.0090114791,0.0316128731,0.6812721491,0.0149151031,0.0000000000,0.0334623083,0.0082901949,0.0153847877,0.0134833958,0.0200908780,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004913405,0.0002456771,0.0361139812,0.0439154506,0.0185336154,0.0029646645,0.0561903231,0.0640561581,0.0150020374,0.0097246980,0.0165909417,0.0171551667,0.0025768043,0.0016307393,0.2968568206,0.2959099412,0.1378564388,0.0000000000,0.0000000000,0.0118096871,0.0264240243,0.0115082944,0.0159515683,0.0200442579,0.0000000000,0.1009771675,-0.0961283147,0.0102713862,0.1156403422,-0.0041823275,-0.0001407282,0.1125773862,-0.0041895858,-0.0004458182
13:44:13:55.868,61,0.0000000000,0.0000000000,0.1845571995,0.0000000000,0.0077121034,0.0331823006,0.6878914833,0.0000000000,0.0000000000,0.0000000000,0.0665276125,0.0076817772,0.0326349139,0.6879279017,0.0151153291,0.0000000000,0.0332416743,0.0081704771,0.0152391260,0.0133417752,0.0199477468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0005894887,0.0003400156,0.0364325345,0.0442018174,0.0186409261,0.0029816367,0.0568204299,0.0646744743,0.0151788397,0.0098803397,0.0166696031,0.0172335394,0.0026125442,0.0016660416,0.3096441329,0.3087387085,0.1375077367,0.0000000000,0.0000000000,0.0116894217,0.0265754443,0.0116462382,0.0161096826,0.0201964099,0.0000000000,0.1010426432,-0.0956660509,0.0093438895,0.1157928482,-0.0036016805,-0.0001177370,0.1127323657,-0.0036089940,-0.0003810948
13:44:13:56.869,61,0.0000000000,0.0000000000,0.1850985736,0.0000000000,0.0071596778,0.0341798104,0.6916893721,0.0000000000,0.0000000000,0.0000000000,0.0670969635,0.0071266196,0.0336326696,0.6917247772,0.0153080840,0.0000000000,0.0329769738,0.0080553414,0.0151042081,0.0131900450,0.0198224261,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0006729940,0.0004172866,0.0367463715,0.0444669947,0.0187477209,0.0030135054,0.0573566817,0.0651032552,0.0153315011,0.0100009441,0.0167346597,0.0172749143,0.0026284240,0.0016705998,0.3149981499,0.3140599728,0.1374135911,0.0000000000,0.0000000000,0.0116224615,0.0267290529,0.0117594227,0.0162218120,0.0202812105,0.0000000000,0.1008461714,-0.0947745219,0.0093624163,0.1161406785,-0.0033592915,-0.0001089708,0.1130631566,-0.0033665306,-0.0003548437
13:44:13:57.871,61,0.0000000000,0.0000000000,0.1857487261,0.0000000000,0.0061982605,0.0350946188,0.6955323815,0.0000000000,0.0000000000,0.0000000000,0.0677530020,0.0061600110,0.0345489718,0.6955679059,0.0154031478,0.0000000000,0.0325926319,0.0079910941,0.0150279170,0.0130386977,0.0196663775,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007758058,0.0005157694,0.0371526703,0.0448039733,0.0186861604,0.0030564014,0.0575193278,0.0651610866,0.0153993824,0.0100380378,0.0169012453,0.0174201410,0.0026302156,0.0016616485,0.3206774592,0.3197236657,0.1368889660,0.0000000000,0.0000000000,0.0114181489,0.0268797092,0.0118806409,0.0163251776,0.0203802120,0.0000000000,0.1005220711,-0.0941476598,0.0099592786,0.1165414900,-0.0029372191,-0.0000927533,0.1134604216,-0.0029444587,-0.0003082836
13:44:13:58.872,61,0.0000000000,0.0000000000,0.1858652681,0.0000000000,0.0066618933,0.0360524319,0.6974202394,0.0000000000,0.0000000000,0.0000000000,0.0678889230,0.0066263764,0.0355015397,0.6974557638,0.0155085558,0.0000000000,0.0323409177,0.0080430945,0.0150968311,0.0130030615,0.0196436085,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008960877,0.0006288844,0.0376678966,0.0452675782,0.0186941959,0.0031215844,0.0576441251,0.0652696788,0.0154366661,0.0100520654,0.0171076823,0.0176008698,0.0026455275,0.0016617060,0.3217593133,0.3207747936,0.1367091984,0.0000000000,0.0000000000,0.0111877881,0.0271953214,0.0121302959,0.0164577719,0.0204822794,0.0000000000,0.1005111337,-0.0938143060,0.0105529092,0.1166244894,-0.0031408928,-0.0001014205,0.1135315374,-0.0031480906,-0.0003315524
13:44:13:59.874,61,0.0000000000,0.0000000000,0.1859119684,0.0000000000,0.0080798408,0.0364719741,0.6965864897,0.0000000000,0.0000000000,0.0000000000,0.0679463670,0.0080519738,0.0359175280,0.6966227889,0.0155393202,0.0000000000,0.0322618820,0.0080517968,0.0151014924,0.0130302850,0.0195589326,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0009891657,0.0007180900,0.0379300565,0.0454881638,0.0185844805,0.0031708467,0.0575563163,0.0650913417,0.0154911857,0.0101040062,0.0172140971,0.0177038461,0.0026410513,0.0016542245,0.3142156899,0.3132703006,0.1365888268,0.0000000000,0.0000000000,0.0111116897,0.0272515714,0.0121548735,0.0164186172,0.0204155687,0.0000000000,0.1006392539,-0.0935578570,0.0114494925,0.1166594923,-0.0037634678,-0.0001273551,0.1135598347,-0.0037708094,-0.0004022213
13:44:14:00.876,61,0.0000000000,0.0000000000,0.1856876314,0.0000000000,0.0093182912,0.0367704369,0.6948309541,0.0000000000,0.0000000000,0.0000000000,0.0677448660,0.0092972536,0.0362154357,0.6948696375,0.0152734378,0.0000000000,0.0321804658,0.0080386335,0.0150621738,0.0133209759,0.0197126623,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010344952,0.0007556985,0.0383328125,0.0458530076,0.0180439111,0.0030268596,0.0573651418,0.0653303415,0.0154111981,0.0100123947,0.0173278861,0.0177960172,0.0026697908,0.0016737543,0.3101984560,0.3092246056,0.1367712468,0.0000000000,0.0000000000,0.0108836070,0.0273025315,0.0121718692,0.0163559373,0.0203108005,0.0000000000,0.1010740101,-0.0933195204,0.0124173528,0.1165363044,-0.0043072710,-0.0001494202,0.1134225801,-0.0043146266,-0.0004633066
13:44:14:01.877,61,0.0000000000,0.0000000000,0.1843021214,0.0000000000,0.0110192811,0.0372596569,0.6917335987,0.0000000000,0.0000000000,0.0000000000,0.0663573071,0.0110069867,0.0367054343,0.6917719841,0.0149633968,0.0000000000,0.0321609266,0.0080727022,0.0150671462,0.0137913236,0.0200015213,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010759777,0.0007887471,0.0387361236,0.0462440252,0.0173499361,0.0028632178,0.0569494292,0.0655744672,0.0153085152,0.0099158259,0.0175394826,0.0179907680,0.0027235714,0.0017219424,0.3067264855,0.3057689965,0.1369553059,0.0000000000,0.0000000000,0.0106119532,0.0274998304,0.0123486454,0.0163885131,0.0203056410,0.0000000000,0.1017933488,-0.0937381014,0.0130396625,0.1156885773,-0.0050537554,-0.0001762321,0.1125759035,-0.0050611622,-0.0005437564
13:44:14:02.879,61,0.0000000000,0.0000000000,0.1836786717,0.0000000000,0.0116681494,0.0374383256,0.6852456927,0.0000000000,0.0000000000,0.0000000000,0.0657363012,0.0116591332,0.0368887335,0.6852880120,0.0145425182,0.0000000000,0.0320859402,0.0081589259,0.0151351495,0.0142143490,0.0200899262,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010937506,0.0007958266,0.0391670316,0.0466387831,0.0162901897,0.0026237676,0.0552854501,0.0654211417,0.0149856498,0.0095969532,0.0177686457,0.0181892477,0.0027687347,0.0017558740,0.3055470586,0.3045921028,0.1374492794,0.0000000000,0.0000000000,0.0100503378,0.0276291650,0.0124396048,0.0164074246,0.0202788785,0.0000000000,0.1018700600,-0.0949788541,0.0136699164,0.1153091788,-0.0053384639,-0.0001858398,0.1121949255,-0.0053458679,-0.0005738111
13:44:14:03.880,61,0.0000000000,0.0000000000,0.1818285435,0.0000000000,0.0123801278,0.0375738256,0.6793451309,0.0000000000,0.0000000000,0.0000000000,0.0638178214,0.0123741180,0.0370332971,0.6793896556,0.0140208900,0.0000000000,0.0319348313,0.0083207805,0.0152738029,0.0147126671,0.0204035323,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010950962,0.0007866108,0.0394171178,0.0468433574,0.0154427327,0.0023628075,0.0541216657,0.0653860047,0.0146741439,0.0092940312,0.0180316698,0.0184253510,0.0028255160,0.0018044017,0.3142888546,0.3134154081,0.1377299726,0.0000000000,0.0000000000,0.0094285021,0.0277884975,0.0126054632,0.0165532213,0.0203861054,0.0000000000,0.1016647369,-0.0952489749,0.0143283317,0.1141371876,-0.0056504360,-0.0001920364,0.1110646427,-0.0056578061,-0.0006026422
13:44:14:04.882,61,0.0000000000,0.0000000000,0.1797526628,0.0000000000,0.0128164403,0.0381055735,0.6769416928,0.0000000000,0.0000000000,0.0000000000,0.0616507158,0.0128112501,0.0375746451,0.6769875288,0.0136387544,0.0000000000,0.0317076333,0.0084871594,0.0153990872,0.0150979916,0.0207800176,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0011163789,0.0007941501,0.0395300612,0.0468955673,0.0149031822,0.0022093351,0.0534708090,0.0655139387,0.0145303207,0.0091551589,0.0183178093,0.0187018439,0.0028795011,0.0018567358,0.3484529555,0.3476507366,0.1372563839,0.0000000000,0.0000000000,0.0089968070,0.0279676840,0.0128212059,0.0169190019,0.0207181070,0.0000000000,0.1008454412,-0.0959628746,0.0142948171,0.1128133610,-0.0058410307,-0.0001920648,0.1097965389,-0.0058485726,-0.0006167024
13:44:14:05.884,61,0.0000000000,0.0000000000,0.1790255159,0.0000000000,0.0124194697,0.0391998924,0.6769058108,0.0000000000,0.0000000000,0.0000000000,0.0608729273,0.0124118198,0.0386835560,0.6769529581,0.0135472473,0.0000000000,0.0314820968,0.0086622201,0.0155603122,0.0153629053,0.0212418679,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0011227045,0.0007871434,0.0395925753,0.0468851365,0.0147336880,0.0021872765,0.0532665141,0.0658181459,0.0145264240,0.0091528343,0.0185578987,0.0189362317,0.0029142206,0.0018935237,0.3578614295,0.3570820987,0.1357023418,0.0000000000,0.0000000000,0.0088286353,0.0281973444,0.0130784437,0.0172957592,0.0210712701,0.0000000000,0.0990586728,-0.0968768001,0.0143961394,0.1123382896,-0.0056665279,-0.0001829215,0.1093524918,-0.0056740441,-0.0005951654
13:44:14:06.885,61,0.0000000000,0.0000000000,0.1775649637,0.0000000000,0.0100455694,0.0399743579,0.6818317175,0.0000000000,0.0000000000,0.0000000000,0.0593550764,0.0100250784,0.0394656435,0.6818774343,0.0135675641,0.0000000000,0.0312856324,0.0089711798,0.0157981608,0.0157488566,0.0217197910,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0011636004,0.0008112463,0.0399522483,0.0471895002,0.0145033635,0.0021972023,0.0529860370,0.0668085963,0.0144662410,0.0090959044,0.0189626794,0.0193197578,0.0029905508,0.0019731843,0.3622743487,0.3615019321,0.1330852062,0.0000000000,0.0000000000,0.0085911686,0.0285377856,0.0134175438,0.0177978892,0.0215604939,0.0000000000,0.0978332460,-0.0978892893,0.0148104886,0.1114112735,-0.0046242462,-0.0001401178,0.1084609032,-0.0046315771,-0.0004774485
13:44:14:07.887,61,0.0000000000,0.0000000000,0.1754773408,0.0000000000,0.0074036522,0.0404962674,0.6860002875,0.0000000000,0.0000000000,0.0000000000,0.0572144277,0.0073686815,0.0399939939,0.6860444546,0.0135911983,0.0000000000,0.0311924033,0.0093948524,0.0161766075,0.0161635038,0.0221961159,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0011869379,0.0008129362,0.0404146314,0.0475991145,0.0142491385,0.0022206951,0.0523918979,0.0672519654,0.0142486198,0.0088858390,0.0193854179,0.0197028741,0.0030434292,0.0020192659,0.3599072099,0.3590719998,0.1315447390,0.0000000000,0.0000000000,0.0082906866,0.0288068894,0.0136616761,0.0181770958,0.0218891799,0.0000000000,0.0964565128,-0.0991887599,0.0152501641,0.1101037934,-0.0034642618,-0.0000938643,0.1071862131,-0.0034715559,-0.0003477176
13:44:14:08.888,61,0.0000000000,0.0000000000,0.1743141860,0.0000000000,0.0045237709,0.0407945141,0.6885670424,0.0000000000,0.0000000000,0.0000000000,0.0560163483,0.0044740471,0.0402991958,0.6886117458,0.0135838157,0.0000000000,0.0311047733,0.0099113015,0.0165762901,0.0167277027,0.0225631781,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0012271724,0.0008332608,0.0416180268,0.0488181226,0.0137252733,0.0021441367,0.0512849540,0.0686220676,0.0138569772,0.0085064676,0.0199991409,0.0202693939,0.0031732821,0.0021443600,0.3582790792,0.3573937416,0.1304159909,0.0000000000,0.0000000000,0.0074240407,0.0292250086,0.0140227405,0.0186584089,0.0223295018,0.0000000000,0.0950808227,-0.1003708020,0.0162128508,0.1093720496,-0.0022004177,-0.0000482731,0.1064760759,-0.0022075619,-0.0002110468
13:44:14:09.890,61,0.0000000000,0.0000000000,0.1739822924,0.0000000000,0.0029099339,0.0411159582,0.6902586222,0.0000000000,0.0000000000,0.0000000000,0.0556680076,0.0028520138,0.0406248420,0.6903027296,0.0136012342,0.0000000000,0.0310634542,0.0102403779,0.0168055464,0.0170697402,0.0227879174,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0012777714,0.0008618548,0.0422441475,0.0494180508,0.0134210205,0.0020997138,0.0508516468,0.0695933998,0.0136494506,0.0083060833,0.0204139072,0.0206454135,0.0032810271,0.0022490046,0.3541046679,0.3532047868,0.1285201460,0.0000000000,0.0000000000,0.0068800272,0.0295618474,0.0143090086,0.0190847646,0.0227059238,0.0000000000,0.0945817828,-0.1004673839,0.0172210038,0.1091592908,-0.0014922488,-0.0000237806,0.1062734500,-0.0014993513,-0.0001354992
13:44:14:10.891,61,0.0000000000,0.0000000000,0.1734991819,0.0000000000,0.0030167580,0.0411187559,0.6909254789,0.0000000000,0.0000000000,0.0000000000,0.0551833324,0.0029593844,0.0406326726,0.6909694076,0.0135303689,0.0000000000,0.0308935232,0.0104379449,0.0169623364,0.0172035452,0.0228101797,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0013117455,0.0008778761,0.0424922630,0.0495983399,0.0132380314,0.0020158850,0.0506754033,0.0701892152,0.0134838903,0.0081523256,0.0206275750,0.0208272133,0.0033677719,0.0023324080,0.3448025584,0.3438944519,0.1274056286,0.0000000000,0.0000000000,0.0063689617,0.0298163779,0.0145470006,0.0194395985,0.0230179410,0.0000000052,0.0942045301,-0.1003039256,0.0172900110,0.1088632271,-0.0015391121,-0.0000249916,0.1059783697,-0.0015461853,-0.0001400803
13:44:14:11.893,61,0.0000000000,0.0000000000,0.1738044918,0.0000000000,0.0036683581,0.0411359631,0.6904694438,0.0000000000,0.0000000000,0.0000000000,0.0554892458,0.0036145363,0.0406517275,0.6905152202,0.0135494387,0.0000000000,0.0308588669,0.0105130970,0.0170096792,0.0172171630,0.0226971041,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0013525187,0.0009077307,0.0425902158,0.0496733561,0.0131535633,0.0019451630,0.0507592633,0.0705499500,0.0134249171,0.0080974018,0.0207868814,0.0209789909,0.0034418725,0.0024032202,0.3419762254,0.3410640657,0.1265001744,0.0000000000,0.0000000000,0.0059760259,0.0299965851,0.0146931298,0.0197902862,0.0233132187,0.0000000049,0.0944317430,-0.1002510265,0.0171666481,0.1090500802,-0.0018251485,-0.0000349266,0.1061648130,-0.0018321367,-0.0001706369
13:44:14:12.894,61,0.0000000000,0.0000000000,0.1734581292,0.0000000000,0.0053565078,0.0414525084,0.6883614063,0.0000000000,0.0000000000,0.0000000000,0.0551414713,0.0053106090,0.0409665853,0.6884106398,0.0136424694,0.0000000000,0.0309603158,0.0105186934,0.0169813912,0.0171791948,0.0225197449,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0014276973,0.0009675837,0.0426367782,0.0497179180,0.0132089183,0.0019192043,0.0509982929,0.0708245561,0.0134751778,0.0081416471,0.0208793711,0.0210805032,0.0034903709,0.0024477076,0.3401135504,0.3392013013,0.1259399951,0.0000000000,0.0000000000,0.0057371226,0.0301053580,0.0147697711,0.0199931599,0.0234295744,0.0000000000,0.0960010290,-0.1003171131,0.0159508064,0.1088375896,-0.0025656084,-0.0000595285,0.1059530750,-0.0025728513,-0.0002486588
13:44:14:13.896,61,0.0000000000,0.0000000000,0.1731710583,0.0000000000,0.0066842968,0.0414875783,0.6847774386,0.0000000000,0.0000000000,0.0000000000,0.0548631772,0.0066449544,0.0410026126,0.6848306060,0.0134912208,0.0000000000,0.0309809688,0.0103947623,0.0168393645,0.0171135105,0.0224276278,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0014373907,0.0009757074,0.0424658731,0.0495439433,0.0130746029,0.0017940291,0.0511698015,0.0707757324,0.0134826489,0.0081486842,0.0208352245,0.0210631434,0.0034980993,0.0024556390,0.3397661448,0.3388601840,0.1256772429,0.0000000000,0.0000000000,0.0055379076,0.0299553536,0.0146447103,0.0200028475,0.0233760737,0.0000000000,0.0970239490,-0.1009080261,0.0147884721,0.1086675450,-0.0031481406,-0.0000786538,0.1057775766,-0.0031554233,-0.0003097778
13:44:14:14.898,61,0.0000000000,0.0000000000,0.1729924232,0.0000000000,0.0068531390,0.0414833352,0.6832010150,0.0000000000,0.0000000000,0.0000000000,0.0546953715,0.0068146167,0.0410005264,0.6832559109,0.0133485533,0.0000000000,0.0309270248,0.0103541883,0.0167514309,0.0171295181,0.0224281121,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0014442473,0.0009839920,0.0423546061,0.0494257361,0.0129213845,0.0016747331,0.0512701198,0.0709470734,0.0134573774,0.0081244595,0.0208415948,0.0211032480,0.0035157858,0.0024788734,0.3402844667,0.3394015133,0.1256058216,0.0000000000,0.0000000000,0.0053140651,0.0297791269,0.0145179620,0.0199705269,0.0233130995,0.0000000000,0.0978545398,-0.1009030864,0.0142946029,0.1085650250,-0.0032222010,-0.0000808306,0.1056684405,-0.0032294740,-0.0003172724
